Date,US,Cases
1/22/2020,US,1
1/23/2020,US,1
1/24/2020,US,2
1/25/2020,US,2
1/26/2020,US,5
1/27/2020,US,5
1/28/2020,US,5
1/29/2020,US,5
1/30/2020,US,5
1/31/2020,US,7
2/1/2020,US,8
2/2/2020,US,8
2/3/2020,US,11
2/4/2020,US,11
2/5/2020,US,11
2/6/2020,US,11
2/7/2020,US,11
2/8/2020,US,11
2/9/2020,US,11
2/10/2020,US,11
2/11/2020,US,12
2/12/2020,US,12
2/13/2020,US,13
2/14/2020,US,13
2/15/2020,US,13
2/16/2020,US,13
2/17/2020,US,13
2/18/2020,US,13
2/19/2020,US,13
2/20/2020,US,13
2/21/2020,US,15
2/22/2020,US,15
2/23/2020,US,15
2/24/2020,US,51
2/25/2020,US,51
2/26/2020,US,57
2/27/2020,US,58
2/28/2020,US,60
2/29/2020,US,68
3/1/2020,US,74
3/2/2020,US,98
3/3/2020,US,118
3/4/2020,US,149
3/5/2020,US,217
3/6/2020,US,262
3/7/2020,US,402
3/8/2020,US,518
3/9/2020,US,583
3/10/2020,US,959
3/11/2020,US,1281
3/12/2020,US,1663
3/13/2020,US,2179
3/14/2020,US,2727
3/15/2020,US,3499
3/16/2020,US,4632
3/17/2020,US,6421
3/18/2020,US,7783
3/19/2020,US,13677
3/20/2020,US,19100
3/21/2020,US,25489
3/22/2020,US,33276
3/23/2020,US,43847
3/24/2020,US,53740
3/25/2020,US,65778
3/26/2020,US,83836
3/27/2020,US,101657
3/28/2020,US,121478
3/29/2020,US,140886
3/30/2020,US,161807
1/22/2020,Italy,0
1/23/2020,Italy,0
1/24/2020,Italy,0
1/25/2020,Italy,0
1/26/2020,Italy,0
1/27/2020,Italy,0
1/28/2020,Italy,0
1/29/2020,Italy,0
1/30/2020,Italy,0
1/31/2020,Italy,2
2/1/2020,Italy,2
2/2/2020,Italy,2
2/3/2020,Italy,2
2/4/2020,Italy,2
2/5/2020,Italy,2
2/6/2020,Italy,2
2/7/2020,Italy,3
2/8/2020,Italy,3
2/9/2020,Italy,3
2/10/2020,Italy,3
2/11/2020,Italy,3
2/12/2020,Italy,3
2/13/2020,Italy,3
2/14/2020,Italy,3
2/15/2020,Italy,3
2/16/2020,Italy,3
2/17/2020,Italy,3
2/18/2020,Italy,3
2/19/2020,Italy,3
2/20/2020,Italy,3
2/21/2020,Italy,20
2/22/2020,Italy,62
2/23/2020,Italy,155
2/24/2020,Italy,229
2/25/2020,Italy,322
2/26/2020,Italy,453
2/27/2020,Italy,655
2/28/2020,Italy,888
2/29/2020,Italy,1128
3/1/2020,Italy,1694
3/2/2020,Italy,2036
3/3/2020,Italy,2502
3/4/2020,Italy,3089
3/5/2020,Italy,3858
3/6/2020,Italy,4636
3/7/2020,Italy,5883
3/8/2020,Italy,7375
3/9/2020,Italy,9172
3/10/2020,Italy,10149
3/11/2020,Italy,12462
3/12/2020,Italy,12462
3/13/2020,Italy,17660
3/14/2020,Italy,21157
3/15/2020,Italy,24747
3/16/2020,Italy,27980
3/17/2020,Italy,31506
3/18/2020,Italy,35713
3/19/2020,Italy,41035
3/20/2020,Italy,47021
3/21/2020,Italy,53578
3/22/2020,Italy,59138
3/23/2020,Italy,63927
3/24/2020,Italy,69176
3/25/2020,Italy,74386
3/26/2020,Italy,80589
3/27/2020,Italy,86498
3/28/2020,Italy,92472
3/29/2020,Italy,97689
3/30/2020,Italy,101739
1/22/2020,Spain,0
1/23/2020,Spain,0
1/24/2020,Spain,0
1/25/2020,Spain,0
1/26/2020,Spain,0
1/27/2020,Spain,0
1/28/2020,Spain,0
1/29/2020,Spain,0
1/30/2020,Spain,0
1/31/2020,Spain,0
2/1/2020,Spain,1
2/2/2020,Spain,1
2/3/2020,Spain,1
2/4/2020,Spain,1
2/5/2020,Spain,1
2/6/2020,Spain,1
2/7/2020,Spain,1
2/8/2020,Spain,1
2/9/2020,Spain,2
2/10/2020,Spain,2
2/11/2020,Spain,2
2/12/2020,Spain,2
2/13/2020,Spain,2
2/14/2020,Spain,2
2/15/2020,Spain,2
2/16/2020,Spain,2
2/17/2020,Spain,2
2/18/2020,Spain,2
2/19/2020,Spain,2
2/20/2020,Spain,2
2/21/2020,Spain,2
2/22/2020,Spain,2
2/23/2020,Spain,2
2/24/2020,Spain,2
2/25/2020,Spain,6
2/26/2020,Spain,13
2/27/2020,Spain,15
2/28/2020,Spain,32
2/29/2020,Spain,45
3/1/2020,Spain,84
3/2/2020,Spain,120
3/3/2020,Spain,165
3/4/2020,Spain,222
3/5/2020,Spain,259
3/6/2020,Spain,400
3/7/2020,Spain,500
3/8/2020,Spain,673
3/9/2020,Spain,1073
3/10/2020,Spain,1695
3/11/2020,Spain,2277
3/12/2020,Spain,2277
3/13/2020,Spain,5232
3/14/2020,Spain,6391
3/15/2020,Spain,7798
3/16/2020,Spain,9942
3/17/2020,Spain,11748
3/18/2020,Spain,13910
3/19/2020,Spain,17963
3/20/2020,Spain,20410
3/21/2020,Spain,25374
3/22/2020,Spain,28768
3/23/2020,Spain,35136
3/24/2020,Spain,39885
3/25/2020,Spain,49515
3/26/2020,Spain,57786
3/27/2020,Spain,65719
3/28/2020,Spain,73235
3/29/2020,Spain,80110
3/30/2020,Spain,87956
1/22/2020,"Hubei, China",444
1/23/2020,"Hubei, China",444
1/24/2020,"Hubei, China",549
1/25/2020,"Hubei, China",761
1/26/2020,"Hubei, China",1058
1/27/2020,"Hubei, China",1423
1/28/2020,"Hubei, China",3554
1/29/2020,"Hubei, China",3554
1/30/2020,"Hubei, China",4903
1/31/2020,"Hubei, China",5806
2/1/2020,"Hubei, China",7153
2/2/2020,"Hubei, China",11177
2/3/2020,"Hubei, China",13522
2/4/2020,"Hubei, China",16678
2/5/2020,"Hubei, China",19665
2/6/2020,"Hubei, China",22112
2/7/2020,"Hubei, China",24953
2/8/2020,"Hubei, China",27100
2/9/2020,"Hubei, China",29631
2/10/2020,"Hubei, China",31728
2/11/2020,"Hubei, China",33366
2/12/2020,"Hubei, China",33366
2/13/2020,"Hubei, China",48206
2/14/2020,"Hubei, China",54406
2/15/2020,"Hubei, China",56249
2/16/2020,"Hubei, China",58182
2/17/2020,"Hubei, China",59989
2/18/2020,"Hubei, China",61682
2/19/2020,"Hubei, China",62031
2/20/2020,"Hubei, China",62442
2/21/2020,"Hubei, China",62662
2/22/2020,"Hubei, China",64084
2/23/2020,"Hubei, China",64084
2/24/2020,"Hubei, China",64287
2/25/2020,"Hubei, China",64786
2/26/2020,"Hubei, China",65187
2/27/2020,"Hubei, China",65596
2/28/2020,"Hubei, China",65914
2/29/2020,"Hubei, China",66337
3/1/2020,"Hubei, China",66907
3/2/2020,"Hubei, China",67103
3/3/2020,"Hubei, China",67217
3/4/2020,"Hubei, China",67332
3/5/2020,"Hubei, China",67466
3/6/2020,"Hubei, China",67592
3/7/2020,"Hubei, China",67666
3/8/2020,"Hubei, China",67707
3/9/2020,"Hubei, China",67743
3/10/2020,"Hubei, China",67760
3/11/2020,"Hubei, China",67773
3/12/2020,"Hubei, China",67781
3/13/2020,"Hubei, China",67786
3/14/2020,"Hubei, China",67790
3/15/2020,"Hubei, China",67794
3/16/2020,"Hubei, China",67798
3/17/2020,"Hubei, China",67799
3/18/2020,"Hubei, China",67800
3/19/2020,"Hubei, China",67800
3/20/2020,"Hubei, China",67800
3/21/2020,"Hubei, China",67800
3/22/2020,"Hubei, China",67800
3/23/2020,"Hubei, China",67800
3/24/2020,"Hubei, China",67801
3/25/2020,"Hubei, China",67801
3/26/2020,"Hubei, China",67801
3/27/2020,"Hubei, China",67801
3/28/2020,"Hubei, China",67801
3/29/2020,"Hubei, China",67801
3/30/2020,"Hubei, China",67801
1/22/2020,Germany,0
1/23/2020,Germany,0
1/24/2020,Germany,0
1/25/2020,Germany,0
1/26/2020,Germany,0
1/27/2020,Germany,1
1/28/2020,Germany,4
1/29/2020,Germany,4
1/30/2020,Germany,4
1/31/2020,Germany,5
2/1/2020,Germany,8
2/2/2020,Germany,10
2/3/2020,Germany,12
2/4/2020,Germany,12
2/5/2020,Germany,12
2/6/2020,Germany,12
2/7/2020,Germany,13
2/8/2020,Germany,13
2/9/2020,Germany,14
2/10/2020,Germany,14
2/11/2020,Germany,16
2/12/2020,Germany,16
2/13/2020,Germany,16
2/14/2020,Germany,16
2/15/2020,Germany,16
2/16/2020,Germany,16
2/17/2020,Germany,16
2/18/2020,Germany,16
2/19/2020,Germany,16
2/20/2020,Germany,16
2/21/2020,Germany,16
2/22/2020,Germany,16
2/23/2020,Germany,16
2/24/2020,Germany,16
2/25/2020,Germany,17
2/26/2020,Germany,27
2/27/2020,Germany,46
2/28/2020,Germany,48
2/29/2020,Germany,79
3/1/2020,Germany,130
3/2/2020,Germany,159
3/3/2020,Germany,196
3/4/2020,Germany,262
3/5/2020,Germany,482
3/6/2020,Germany,670
3/7/2020,Germany,799
3/8/2020,Germany,1040
3/9/2020,Germany,1176
3/10/2020,Germany,1457
3/11/2020,Germany,1908
3/12/2020,Germany,2078
3/13/2020,Germany,3675
3/14/2020,Germany,4585
3/15/2020,Germany,5795
3/16/2020,Germany,7272
3/17/2020,Germany,9257
3/18/2020,Germany,12327
3/19/2020,Germany,15320
3/20/2020,Germany,19848
3/21/2020,Germany,22213
3/22/2020,Germany,24873
3/23/2020,Germany,29056
3/24/2020,Germany,32986
3/25/2020,Germany,37323
3/26/2020,Germany,43938
3/27/2020,Germany,50871
3/28/2020,Germany,57695
3/29/2020,Germany,62095
3/30/2020,Germany,66885
1/22/2020,France,0
1/23/2020,France,0
1/24/2020,France,2
1/25/2020,France,3
1/26/2020,France,3
1/27/2020,France,3
1/28/2020,France,4
1/29/2020,France,5
1/30/2020,France,5
1/31/2020,France,5
2/1/2020,France,6
2/2/2020,France,6
2/3/2020,France,6
2/4/2020,France,6
2/5/2020,France,6
2/6/2020,France,6
2/7/2020,France,6
2/8/2020,France,11
2/9/2020,France,11
2/10/2020,France,11
2/11/2020,France,11
2/12/2020,France,11
2/13/2020,France,11
2/14/2020,France,11
2/15/2020,France,12
2/16/2020,France,12
2/17/2020,France,12
2/18/2020,France,12
2/19/2020,France,12
2/20/2020,France,12
2/21/2020,France,12
2/22/2020,France,12
2/23/2020,France,12
2/24/2020,France,12
2/25/2020,France,14
2/26/2020,France,18
2/27/2020,France,38
2/28/2020,France,57
2/29/2020,France,100
3/1/2020,France,130
3/2/2020,France,191
3/3/2020,France,204
3/4/2020,France,285
3/5/2020,France,377
3/6/2020,France,653
3/7/2020,France,949
3/8/2020,France,1126
3/9/2020,France,1209
3/10/2020,France,1784
3/11/2020,France,2281
3/12/2020,France,2281
3/13/2020,France,3661
3/14/2020,France,4469
3/15/2020,France,4499
3/16/2020,France,6633
3/17/2020,France,7652
3/18/2020,France,9043
3/19/2020,France,10871
3/20/2020,France,12612
3/21/2020,France,14282
3/22/2020,France,16018
3/23/2020,France,19856
3/24/2020,France,22304
3/25/2020,France,25233
3/26/2020,France,29155
3/27/2020,France,32964
3/28/2020,France,37575
3/29/2020,France,40174
3/30/2020,France,44550
1/22/2020,Iran,0
1/23/2020,Iran,0
1/24/2020,Iran,0
1/25/2020,Iran,0
1/26/2020,Iran,0
1/27/2020,Iran,0
1/28/2020,Iran,0
1/29/2020,Iran,0
1/30/2020,Iran,0
1/31/2020,Iran,0
2/1/2020,Iran,0
2/2/2020,Iran,0
2/3/2020,Iran,0
2/4/2020,Iran,0
2/5/2020,Iran,0
2/6/2020,Iran,0
2/7/2020,Iran,0
2/8/2020,Iran,0
2/9/2020,Iran,0
2/10/2020,Iran,0
2/11/2020,Iran,0
2/12/2020,Iran,0
2/13/2020,Iran,0
2/14/2020,Iran,0
2/15/2020,Iran,0
2/16/2020,Iran,0
2/17/2020,Iran,0
2/18/2020,Iran,0
2/19/2020,Iran,2
2/20/2020,Iran,5
2/21/2020,Iran,18
2/22/2020,Iran,28
2/23/2020,Iran,43
2/24/2020,Iran,61
2/25/2020,Iran,95
2/26/2020,Iran,139
2/27/2020,Iran,245
2/28/2020,Iran,388
2/29/2020,Iran,593
3/1/2020,Iran,978
3/2/2020,Iran,1501
3/3/2020,Iran,2336
3/4/2020,Iran,2922
3/5/2020,Iran,3513
3/6/2020,Iran,4747
3/7/2020,Iran,5823
3/8/2020,Iran,6566
3/9/2020,Iran,7161
3/10/2020,Iran,8042
3/11/2020,Iran,9000
3/12/2020,Iran,10075
3/13/2020,Iran,11364
3/14/2020,Iran,12729
3/15/2020,Iran,13938
3/16/2020,Iran,14991
3/17/2020,Iran,16169
3/18/2020,Iran,17361
3/19/2020,Iran,18407
3/20/2020,Iran,19644
3/21/2020,Iran,20610
3/22/2020,Iran,21638
3/23/2020,Iran,23049
3/24/2020,Iran,24811
3/25/2020,Iran,27017
3/26/2020,Iran,29406
3/27/2020,Iran,32332
3/28/2020,Iran,35408
3/29/2020,Iran,38309
3/30/2020,Iran,41495
1/22/2020,United Kingdom,0
1/23/2020,United Kingdom,0
1/24/2020,United Kingdom,0
1/25/2020,United Kingdom,0
1/26/2020,United Kingdom,0
1/27/2020,United Kingdom,0
1/28/2020,United Kingdom,0
1/29/2020,United Kingdom,0
1/30/2020,United Kingdom,0
1/31/2020,United Kingdom,2
2/1/2020,United Kingdom,2
2/2/2020,United Kingdom,2
2/3/2020,United Kingdom,2
2/4/2020,United Kingdom,2
2/5/2020,United Kingdom,2
2/6/2020,United Kingdom,2
2/7/2020,United Kingdom,3
2/8/2020,United Kingdom,3
2/9/2020,United Kingdom,3
2/10/2020,United Kingdom,8
2/11/2020,United Kingdom,8
2/12/2020,United Kingdom,9
2/13/2020,United Kingdom,9
2/14/2020,United Kingdom,9
2/15/2020,United Kingdom,9
2/16/2020,United Kingdom,9
2/17/2020,United Kingdom,9
2/18/2020,United Kingdom,9
2/19/2020,United Kingdom,9
2/20/2020,United Kingdom,9
2/21/2020,United Kingdom,9
2/22/2020,United Kingdom,9
2/23/2020,United Kingdom,9
2/24/2020,United Kingdom,13
2/25/2020,United Kingdom,13
2/26/2020,United Kingdom,13
2/27/2020,United Kingdom,15
2/28/2020,United Kingdom,20
2/29/2020,United Kingdom,23
3/1/2020,United Kingdom,36
3/2/2020,United Kingdom,40
3/3/2020,United Kingdom,51
3/4/2020,United Kingdom,85
3/5/2020,United Kingdom,115
3/6/2020,United Kingdom,163
3/7/2020,United Kingdom,206
3/8/2020,United Kingdom,273
3/9/2020,United Kingdom,321
3/10/2020,United Kingdom,382
3/11/2020,United Kingdom,456
3/12/2020,United Kingdom,456
3/13/2020,United Kingdom,798
3/14/2020,United Kingdom,1140
3/15/2020,United Kingdom,1140
3/16/2020,United Kingdom,1543
3/17/2020,United Kingdom,1950
3/18/2020,United Kingdom,2626
3/19/2020,United Kingdom,2689
3/20/2020,United Kingdom,3983
3/21/2020,United Kingdom,5018
3/22/2020,United Kingdom,5683
3/23/2020,United Kingdom,6650
3/24/2020,United Kingdom,8077
3/25/2020,United Kingdom,9529
3/26/2020,United Kingdom,11658
3/27/2020,United Kingdom,14543
3/28/2020,United Kingdom,17089
3/29/2020,United Kingdom,19522
3/30/2020,United Kingdom,22141
1/22/2020,Switzerland,0
1/23/2020,Switzerland,0
1/24/2020,Switzerland,0
1/25/2020,Switzerland,0
1/26/2020,Switzerland,0
1/27/2020,Switzerland,0
1/28/2020,Switzerland,0
1/29/2020,Switzerland,0
1/30/2020,Switzerland,0
1/31/2020,Switzerland,0
2/1/2020,Switzerland,0
2/2/2020,Switzerland,0
2/3/2020,Switzerland,0
2/4/2020,Switzerland,0
2/5/2020,Switzerland,0
2/6/2020,Switzerland,0
2/7/2020,Switzerland,0
2/8/2020,Switzerland,0
2/9/2020,Switzerland,0
2/10/2020,Switzerland,0
2/11/2020,Switzerland,0
2/12/2020,Switzerland,0
2/13/2020,Switzerland,0
2/14/2020,Switzerland,0
2/15/2020,Switzerland,0
2/16/2020,Switzerland,0
2/17/2020,Switzerland,0
2/18/2020,Switzerland,0
2/19/2020,Switzerland,0
2/20/2020,Switzerland,0
2/21/2020,Switzerland,0
2/22/2020,Switzerland,0
2/23/2020,Switzerland,0
2/24/2020,Switzerland,0
2/25/2020,Switzerland,1
2/26/2020,Switzerland,1
2/27/2020,Switzerland,8
2/28/2020,Switzerland,8
2/29/2020,Switzerland,18
3/1/2020,Switzerland,27
3/2/2020,Switzerland,42
3/3/2020,Switzerland,56
3/4/2020,Switzerland,90
3/5/2020,Switzerland,114
3/6/2020,Switzerland,214
3/7/2020,Switzerland,268
3/8/2020,Switzerland,337
3/9/2020,Switzerland,374
3/10/2020,Switzerland,491
3/11/2020,Switzerland,652
3/12/2020,Switzerland,652
3/13/2020,Switzerland,1139
3/14/2020,Switzerland,1359
3/15/2020,Switzerland,2200
3/16/2020,Switzerland,2200
3/17/2020,Switzerland,2700
3/18/2020,Switzerland,3028
3/19/2020,Switzerland,4075
3/20/2020,Switzerland,5294
3/21/2020,Switzerland,6575
3/22/2020,Switzerland,7474
3/23/2020,Switzerland,8795
3/24/2020,Switzerland,9877
3/25/2020,Switzerland,10897
3/26/2020,Switzerland,11811
3/27/2020,Switzerland,12928
3/28/2020,Switzerland,14076
3/29/2020,Switzerland,14829
3/30/2020,Switzerland,15922
1/22/2020,Belgium,0
1/23/2020,Belgium,0
1/24/2020,Belgium,0
1/25/2020,Belgium,0
1/26/2020,Belgium,0
1/27/2020,Belgium,0
1/28/2020,Belgium,0
1/29/2020,Belgium,0
1/30/2020,Belgium,0
1/31/2020,Belgium,0
2/1/2020,Belgium,0
2/2/2020,Belgium,0
2/3/2020,Belgium,0
2/4/2020,Belgium,1
2/5/2020,Belgium,1
2/6/2020,Belgium,1
2/7/2020,Belgium,1
2/8/2020,Belgium,1
2/9/2020,Belgium,1
2/10/2020,Belgium,1
2/11/2020,Belgium,1
2/12/2020,Belgium,1
2/13/2020,Belgium,1
2/14/2020,Belgium,1
2/15/2020,Belgium,1
2/16/2020,Belgium,1
2/17/2020,Belgium,1
2/18/2020,Belgium,1
2/19/2020,Belgium,1
2/20/2020,Belgium,1
2/21/2020,Belgium,1
2/22/2020,Belgium,1
2/23/2020,Belgium,1
2/24/2020,Belgium,1
2/25/2020,Belgium,1
2/26/2020,Belgium,1
2/27/2020,Belgium,1
2/28/2020,Belgium,1
2/29/2020,Belgium,1
3/1/2020,Belgium,2
3/2/2020,Belgium,8
3/3/2020,Belgium,13
3/4/2020,Belgium,23
3/5/2020,Belgium,50
3/6/2020,Belgium,109
3/7/2020,Belgium,169
3/8/2020,Belgium,200
3/9/2020,Belgium,239
3/10/2020,Belgium,267
3/11/2020,Belgium,314
3/12/2020,Belgium,314
3/13/2020,Belgium,559
3/14/2020,Belgium,689
3/15/2020,Belgium,886
3/16/2020,Belgium,1058
3/17/2020,Belgium,1243
3/18/2020,Belgium,1486
3/19/2020,Belgium,1795
3/20/2020,Belgium,2257
3/21/2020,Belgium,2815
3/22/2020,Belgium,3401
3/23/2020,Belgium,3743
3/24/2020,Belgium,4269
3/25/2020,Belgium,4937
3/26/2020,Belgium,6235
3/27/2020,Belgium,7284
3/28/2020,Belgium,9134
3/29/2020,Belgium,10836
3/30/2020,Belgium,11899
1/22/2020,Netherlands,0
1/23/2020,Netherlands,0
1/24/2020,Netherlands,0
1/25/2020,Netherlands,0
1/26/2020,Netherlands,0
1/27/2020,Netherlands,0
1/28/2020,Netherlands,0
1/29/2020,Netherlands,0
1/30/2020,Netherlands,0
1/31/2020,Netherlands,0
2/1/2020,Netherlands,0
2/2/2020,Netherlands,0
2/3/2020,Netherlands,0
2/4/2020,Netherlands,0
2/5/2020,Netherlands,0
2/6/2020,Netherlands,0
2/7/2020,Netherlands,0
2/8/2020,Netherlands,0
2/9/2020,Netherlands,0
2/10/2020,Netherlands,0
2/11/2020,Netherlands,0
2/12/2020,Netherlands,0
2/13/2020,Netherlands,0
2/14/2020,Netherlands,0
2/15/2020,Netherlands,0
2/16/2020,Netherlands,0
2/17/2020,Netherlands,0
2/18/2020,Netherlands,0
2/19/2020,Netherlands,0
2/20/2020,Netherlands,0
2/21/2020,Netherlands,0
2/22/2020,Netherlands,0
2/23/2020,Netherlands,0
2/24/2020,Netherlands,0
2/25/2020,Netherlands,0
2/26/2020,Netherlands,0
2/27/2020,Netherlands,1
2/28/2020,Netherlands,1
2/29/2020,Netherlands,6
3/1/2020,Netherlands,10
3/2/2020,Netherlands,18
3/3/2020,Netherlands,24
3/4/2020,Netherlands,38
3/5/2020,Netherlands,82
3/6/2020,Netherlands,128
3/7/2020,Netherlands,188
3/8/2020,Netherlands,265
3/9/2020,Netherlands,321
3/10/2020,Netherlands,382
3/11/2020,Netherlands,503
3/12/2020,Netherlands,503
3/13/2020,Netherlands,804
3/14/2020,Netherlands,959
3/15/2020,Netherlands,1135
3/16/2020,Netherlands,1413
3/17/2020,Netherlands,1705
3/18/2020,Netherlands,2051
3/19/2020,Netherlands,2460
3/20/2020,Netherlands,2994
3/21/2020,Netherlands,3631
3/22/2020,Netherlands,4204
3/23/2020,Netherlands,4749
3/24/2020,Netherlands,5560
3/25/2020,Netherlands,6412
3/26/2020,Netherlands,7431
3/27/2020,Netherlands,8603
3/28/2020,Netherlands,9762
3/29/2020,Netherlands,10866
3/30/2020,Netherlands,11750
1/22/2020,Turkey,0
1/23/2020,Turkey,0
1/24/2020,Turkey,0
1/25/2020,Turkey,0
1/26/2020,Turkey,0
1/27/2020,Turkey,0
1/28/2020,Turkey,0
1/29/2020,Turkey,0
1/30/2020,Turkey,0
1/31/2020,Turkey,0
2/1/2020,Turkey,0
2/2/2020,Turkey,0
2/3/2020,Turkey,0
2/4/2020,Turkey,0
2/5/2020,Turkey,0
2/6/2020,Turkey,0
2/7/2020,Turkey,0
2/8/2020,Turkey,0
2/9/2020,Turkey,0
2/10/2020,Turkey,0
2/11/2020,Turkey,0
2/12/2020,Turkey,0
2/13/2020,Turkey,0
2/14/2020,Turkey,0
2/15/2020,Turkey,0
2/16/2020,Turkey,0
2/17/2020,Turkey,0
2/18/2020,Turkey,0
2/19/2020,Turkey,0
2/20/2020,Turkey,0
2/21/2020,Turkey,0
2/22/2020,Turkey,0
2/23/2020,Turkey,0
2/24/2020,Turkey,0
2/25/2020,Turkey,0
2/26/2020,Turkey,0
2/27/2020,Turkey,0
2/28/2020,Turkey,0
2/29/2020,Turkey,0
3/1/2020,Turkey,0
3/2/2020,Turkey,0
3/3/2020,Turkey,0
3/4/2020,Turkey,0
3/5/2020,Turkey,0
3/6/2020,Turkey,0
3/7/2020,Turkey,0
3/8/2020,Turkey,0
3/9/2020,Turkey,0
3/10/2020,Turkey,0
3/11/2020,Turkey,1
3/12/2020,Turkey,1
3/13/2020,Turkey,5
3/14/2020,Turkey,5
3/15/2020,Turkey,6
3/16/2020,Turkey,18
3/17/2020,Turkey,47
3/18/2020,Turkey,98
3/19/2020,Turkey,192
3/20/2020,Turkey,359
3/21/2020,Turkey,670
3/22/2020,Turkey,1236
3/23/2020,Turkey,1529
3/24/2020,Turkey,1872
3/25/2020,Turkey,2433
3/26/2020,Turkey,3629
3/27/2020,Turkey,5698
3/28/2020,Turkey,7402
3/29/2020,Turkey,9217
3/30/2020,Turkey,10827
1/22/2020,South Korea,1
1/23/2020,South Korea,1
1/24/2020,South Korea,2
1/25/2020,South Korea,2
1/26/2020,South Korea,3
1/27/2020,South Korea,4
1/28/2020,South Korea,4
1/29/2020,South Korea,4
1/30/2020,South Korea,4
1/31/2020,South Korea,11
2/1/2020,South Korea,12
2/2/2020,South Korea,15
2/3/2020,South Korea,15
2/4/2020,South Korea,16
2/5/2020,South Korea,19
2/6/2020,South Korea,23
2/7/2020,South Korea,24
2/8/2020,South Korea,24
2/9/2020,South Korea,25
2/10/2020,South Korea,27
2/11/2020,South Korea,28
2/12/2020,South Korea,28
2/13/2020,South Korea,28
2/14/2020,South Korea,28
2/15/2020,South Korea,28
2/16/2020,South Korea,29
2/17/2020,South Korea,30
2/18/2020,South Korea,31
2/19/2020,South Korea,31
2/20/2020,South Korea,104
2/21/2020,South Korea,204
2/22/2020,South Korea,433
2/23/2020,South Korea,602
2/24/2020,South Korea,833
2/25/2020,South Korea,977
2/26/2020,South Korea,1261
2/27/2020,South Korea,1766
2/28/2020,South Korea,2337
2/29/2020,South Korea,3150
3/1/2020,South Korea,3736
3/2/2020,South Korea,4335
3/3/2020,South Korea,5186
3/4/2020,South Korea,5621
3/5/2020,South Korea,6088
3/6/2020,South Korea,6593
3/7/2020,South Korea,7041
3/8/2020,South Korea,7314
3/9/2020,South Korea,7478
3/10/2020,South Korea,7513
3/11/2020,South Korea,7755
3/12/2020,South Korea,7869
3/13/2020,South Korea,7979
3/14/2020,South Korea,8086
3/15/2020,South Korea,8162
3/16/2020,South Korea,8236
3/17/2020,South Korea,8320
3/18/2020,South Korea,8413
3/19/2020,South Korea,8565
3/20/2020,South Korea,8652
3/21/2020,South Korea,8799
3/22/2020,South Korea,8961
3/23/2020,South Korea,8961
3/24/2020,South Korea,9037
3/25/2020,South Korea,9137
3/26/2020,South Korea,9241
3/27/2020,South Korea,9332
3/28/2020,South Korea,9478
3/29/2020,South Korea,9583
3/30/2020,South Korea,9661