State,County,Population
New York,Queens,2278906
Georgia,Quitman,2279
Mississippi,Quitman,7051
Georgia,Rabun,16867
Wisconsin,Racine,196584
Virginia,Radford,18339
Texas,Rains,12159
West Virginia,Raleigh,74254
Missouri,Ralls,10212
Minnesota,Ramsey,550210
North Dakota,Ramsey,11481
Texas,Randall,136271
Alabama,Randolph,22725
Arkansas,Randolph,17948
Georgia,Randolph,6833
Illinois,Randolph,32106
Indiana,Randolph,24851
Missouri,Randolph,24763
North Carolina,Randolph,143351
West Virginia,Randolph,28823
Mississippi,Rankin,153902
North Dakota,Ransom,5237
Louisiana,Rapides,130562
Virginia,Rappahannock,7252
Montana,Ravalli,43172
Kansas,Rawlins,2508
Missouri,Ray,22883
Texas,Reagan,3741
Texas,Real,3478
Minnesota,Red Lake,3999
Texas,Red River,12175
Louisiana,Red River,8477
Nebraska,Red Willow,10726
Minnesota,Redwood,15249
Texas,Reeves,15695
Texas,Refugio,7032
Kansas,Reno,62342
New York,Rensselaer,159442
Minnesota,Renville,14612
North Dakota,Renville,2374
Kansas,Republic,4664
Missouri,Reynolds,6254
Tennessee,Rhea,33044
Kansas,Rice,9531
Minnesota,Rice,66523
Utah,Rich,2464
Nebraska,Richardson,7937
Illinois,Richland,15763
Montana,Richland,10913
North Dakota,Richland,16239
Ohio,Richland,121099
South Carolina,Richland,414576
Wisconsin,Richland,17377
Louisiana,Richland,20192
Virginia,Richmond,228783
Georgia,Richmond,201554
New York,Richmond,476179
North Carolina,Richmond,44887
Virginia,Richmond,9038
Kansas,Riley,73703
Iowa,Ringgold,4968
New Mexico,Rio Arriba,39006
Colorado,Rio Blanco,6336
Colorado,Rio Grande,11250
Indiana,Ripley,28523
Missouri,Ripley,13401
West Virginia,Ritchie,9721
California,Riverside,2450758
Tennessee,Roane,53140
West Virginia,Roane,13932
Virginia,Roanoke,99920
Virginia,Roanoke,94073
South Dakota,Roberts,10447
Texas,Roberts,903
Kentucky,Robertson,2135
Tennessee,Robertson,71012
Texas,Robertson,17284
North Carolina,Robeson,131831
Minnesota,Rock,9414
Nebraska,Rock,1360
Wisconsin,Rock,163129
Illinois,Rock Island,143477
Virginia,Rockbridge,22752
Kentucky,Rockcastle,16750
Georgia,Rockdale,90594
New Hampshire,Rockingham,309176
North Carolina,Rockingham,90690
Virginia,Rockingham,81244
New York,Rockland,325695
Texas,Rockwall,100657
Oklahoma,Roger Mills,3656
Oklahoma,Rogers,91984
North Dakota,Rolette,14301
Kansas,Rooks,5013
Montana,Roosevelt,11059
New Mexico,Roosevelt,18743
Michigan,Roscommon,23884
Minnesota,Roseau,15150
Montana,Rosebud,9063
Ohio,Ross,76931
Colorado,Routt,25733
Kentucky,Rowan,24583
North Carolina,Rowan,141262
Texas,Runnels,10234
Indiana,Rush,16663
Kansas,Rush,3093
Texas,Rusk,54450
Wisconsin,Rusk,14147
Alabama,Russell,57781
Kansas,Russell,6907
Kentucky,Russell,17821
Virginia,Russell,26748
North Carolina,Rutherford,66826
Tennessee,Rutherford,324890
Vermont,Rutland,58672
Texas,Sabine,10589
Louisiana,Sabine,24032
Iowa,Sac,9719
California,Sacramento,1540975
Maine,Sagadahoc,35634
Michigan,Saginaw,190800
Colorado,Saguache,6843
Virginia,Salem,25643
New Jersey,Salem,62607
Arkansas,Saline,121421
Illinois,Saline,23906
Kansas,Saline,54401
Missouri,Saline,22895
Nebraska,Saline,14350
Utah,Salt Lake,1152633
South Carolina,Saluda,20544
North Carolina,Sampson,63626
Texas,San Augustine,8232
California,San Benito,61537
California,San Bernardino,2171603
California,San Diego,3343364
California,San Francisco,883305
Texas,San Jacinto,28719
California,San Joaquin,752660
Colorado,San Juan,762
New Mexico,San Juan,125043
Utah,San Juan,15449
Washington,San Juan,17128
California,San Luis Obispo,284010
California,San Mateo,769545
Colorado,San Miguel,8191
New Mexico,San Miguel,27591
Texas,San Patricio,66893
Texas,San Saba,6054
South Dakota,Sanborn,2429
Montana,Sanders,11844
New Mexico,Sandoval,145179
Ohio,Sandusky,58799
Illinois,Sangamon,195348
Michigan,Sanilac,41182
Utah,Sanpete,30623
California,Santa Barbara,446527
California,Santa Clara,1937570
Arizona,Santa Cruz,46511
California,Santa Cruz,274255
New Mexico,Santa Fe,150056
Florida,Santa Rosa,179349
Florida,Sarasota,426718
New York,Saratoga,230163
North Dakota,Sargent,3870
Nebraska,Sarpy,184459
Wisconsin,Sauk,64249
Nebraska,Saunders,21303
Wisconsin,Sawyer,16489
New York,Schenectady,155350
Texas,Schleicher,2895
Georgia,Schley,5236
New York,Schoharie,31097
Michigan,Schoolcraft,8068
Illinois,Schuyler,6907
Missouri,Schuyler,4599
New York,Schuyler,17912
Pennsylvania,Schuylkill,142067
Ohio,Scioto,75502
Missouri,Scotland,4966
North Carolina,Scotland,34810
Arkansas,Scott,10319
Illinois,Scott,4926
Indiana,Scott,23878
Iowa,Scott,173283
Kansas,Scott,4897
Kentucky,Scott,56031
Minnesota,Scott,147381
Mississippi,Scott,28287
Missouri,Scott,38458
Tennessee,Scott,22039
Virginia,Scott,21534
Nebraska,Scotts Bluff,35989
Georgia,Screven,13938
Texas,Scurry,16866
Arkansas,Searcy,7958
Arkansas,Sebastian,127753
Colorado,Sedgwick,2303
Kansas,Sedgwick,513607
Florida,Seminole,467832
Georgia,Seminole,8315
Oklahoma,Seminole,24578
New York,Seneca,34300
Ohio,Seneca,55207
Tennessee,Sequatchie,14876
Oklahoma,Sequoyah,41179
Arkansas,Sevier,17139
Tennessee,Sevier,97892
Utah,Sevier,21539
Kansas,Seward,21780
Nebraska,Seward,17318
Texas,Shackelford,3253
Missouri,Shannon,8189
Mississippi,Sharkey,4377
Arkansas,Sharp,17366
California,Shasta,180040
Wisconsin,Shawano,40796
Kansas,Shawnee,177499
Wisconsin,Sheboygan,115456
Alabama,Shelby,215707
Illinois,Shelby,21741
Indiana,Shelby,44593
Iowa,Shelby,11578
Kentucky,Shelby,48518
Missouri,Shelby,6050
Ohio,Shelby,48627
Tennessee,Shelby,935764
Texas,Shelby,25418
Virginia,Shenandoah,43497
Minnesota,Sherburne,96036
Kansas,Sheridan,2533
Montana,Sheridan,3424
Nebraska,Sheridan,5190
North Dakota,Sheridan,1349
Wyoming,Sheridan,30233
Kansas,Sherman,5899
Nebraska,Sherman,3038
Oregon,Sherman,1708
Texas,Sherman,3079
Michigan,Shiawassee,68192
Idaho,Shoshone,12796
Minnesota,Sibley,15028
California,Sierra,2987
New Mexico,Sierra,10968
Montana,Silver Bow,34993
Kentucky,Simpson,18529
Mississippi,Simpson,26758
Iowa,Sioux,34909
Nebraska,Sioux,1187
North Dakota,Sioux,4358
California,Siskiyou,43724
Alaska,Sitka and,8647
Washington,Skagit,128206
Alaska,Skagwaypality,1148
Washington,Skamania,11924
North Dakota,Slope,763
Kansas,Smith,3603
Mississippi,Smith,16002
Tennessee,Smith,19942
Texas,Smith,230221
Virginia,Smyth,30472
Washington,Snohomish,814901
Pennsylvania,Snyder,40540
New Mexico,Socorro,16735
California,Solano,446610
Maine,Somerset,50592
Maryland,Somerset,25675
New Jersey,Somerset,331164
Pennsylvania,Somerset,73952
Texas,Somervell,9016
California,Sonoma,499942
Virginia,Southampton,17586
Alaska,Southeast Fairbanks Census Area,6918
Georgia,Spalding,66100
South Carolina,Spartanburg,313888
Indiana,Spencer,20327
Kentucky,Spencer,18794
South Dakota,Spink,6495
Washington,Spokane,514631
Virginia,Spotsylvania,134238
Louisiana,St. Bernard,46721
Missouri,St. Charles,399182
Louisiana,St. Charles,52879
Alabama,St. Clair,88690
Illinois,St. Clair,261059
Michigan,St. Clair,159337
Missouri,St. Clair,9395
Wisconsin,St. Croix,89694
Arkansas,St. Francis,25439
Missouri,St. Francois,66692
Louisiana,St. Helena,10262
Louisiana,St. James,21037
Louisiana,St. John the Baptist,43184
Florida,St. Johns,254261
Indiana,St. Joseph,270771
Michigan,St. Joseph,61043
Louisiana,St. Landry,82764
New York,St. Lawrence,108047
Missouri,St. Louis,302838
Minnesota,St. Louis,199754
Missouri,St. Louis,996945
Florida,St. Lucie,321128
Louisiana,St. Martin,53621
Louisiana,St. Mary,49774
Maryland,St. Mary's,112664
Louisiana,St. Tammany,258111
Kansas,Stafford,4178
Virginia,Stafford,149960
California,Stanislaus,549815
South Dakota,Stanley,3022
North Carolina,Stanly,62075
Kansas,Stanton,1987
Nebraska,Stanton,5970
Illinois,Stark,5427
North Dakota,Stark,30997
Ohio,Stark,371574
Indiana,Starke,22935
Texas,Starr,64525
Virginia,Staunton,24922
Missouri,Ste. Genevieve,17888
Minnesota,Stearns,159256
Minnesota,Steele,36803
North Dakota,Steele,1903
Georgia,Stephens,26035
Oklahoma,Stephens,43265
Texas,Stephens,9433
Illinois,Stephenson,44753
Texas,Sterling,1311
Indiana,Steuben,34586
New York,Steuben,95796
Kansas,Stevens,5559
Minnesota,Stevens,9753
Washington,Stevens,45260
Georgia,Stewart,6199
Tennessee,Stewart,13561
Montana,Stillwater,9534
Missouri,Stoddard,29206
North Carolina,Stokes,45467
Arkansas,Stone,12457
Mississippi,Stone,18717
Missouri,Stone,31749
Texas,Stonewall,1362
Nevada,Storey,4029
Iowa,Story,98105
New Hampshire,Strafford,130090
North Dakota,Stutsman,20917
Wyoming,Sublette,9813
Virginia,Suffolk,91185
Massachusetts,Suffolk,807252
New York,Suffolk,1481093
Indiana,Sullivan,20690
Missouri,Sullivan,6221
New Hampshire,Sullivan,43144
New York,Sullivan,75498
Pennsylvania,Sullivan,6071
Tennessee,Sullivan,157668
South Dakota,Sully,1392
West Virginia,Summers,12760
Colorado,Summit,31007
Ohio,Summit,541918
Utah,Summit,41933
Kansas,Sumner,22996
Tennessee,Sumner,187149
Alabama,Sumter,12691
Florida,Sumter,128754
Georgia,Sumter,29733
South Carolina,Sumter,106512
Mississippi,Sunflower,25735
North Carolina,Surry,71948
Virginia,Surry,6474
Pennsylvania,Susquehanna,40589
Delaware,Sussex,229286
New Jersey,Sussex,140799
Virginia,Sussex,11237
California,Sutter,96807
Texas,Sutton,3758
Florida,Suwannee,44191
North Carolina,Swain,14245
Montana,Sweet Grass,3710
Wyoming,Sweetwater,43051
Minnesota,Swift,9345
Texas,Swisher,7462
Indiana,Switzerland,10717
Georgia,Talbot,6272
Maryland,Talbot,36968
Georgia,Taliaferro,1608
Alabama,Talladega,79828
Mississippi,Tallahatchie,13987
Alabama,Tallapoosa,40497
Iowa,Tama,16904
Missouri,Taney,55852
Louisiana,Tangipahoa,133777
New Mexico,Taos,32835
Texas,Tarrant,2084931
Mississippi,Tate,28759
Georgia,Tattnall,25391
Florida,Taylor,21623
Georgia,Taylor,8039
Iowa,Taylor,6191
Kentucky,Taylor,25549
Texas,Taylor,137640
West Virginia,Taylor,16862
Wisconsin,Taylor,20412
Illinois,Tazewell,132328
Virginia,Tazewell,40855
California,Tehama,63916
Georgia,Telfair,15876
Colorado,Teller,25083
Louisiana,Tensas,4462
Louisiana,Terrebonne,111021
Georgia,Terrell,8611
Texas,Terrell,823
Texas,Terry,12287
Idaho,Teton,11640
Montana,Teton,6162
Wyoming,Teton,23081
Missouri,Texas,25571
Oklahoma,Texas,20455
Nebraska,Thayer,5039
Georgia,Thomas,44448
Kansas,Thomas,7711
Nebraska,Thomas,720
Texas,Throckmorton,1515
Nebraska,Thurston,7303
Washington,Thurston,286419
Georgia,Tift,40571
Oregon,Tillamook,26787
Oklahoma,Tillman,7348
New York,Tioga,48560
Pennsylvania,Tioga,40763
Mississippi,Tippah,21995
Indiana,Tippecanoe,193048
Indiana,Tipton,15128
Tennessee,Tipton,61581
Mississippi,Tishomingo,19454
Texas,Titus,33033
Kentucky,Todd,12311
Minnesota,Todd,24582
South Dakota,Todd,10283
Connecticut,Tolland,150921
Texas,Tom Green,118189
New York,Tompkins,102793
Utah,Tooele,69907
Montana,Toole,4853
Georgia,Toombs,26887
New Mexico,Torrance,15591
North Dakota,Towner,2192
Georgia,Towns,11852
North Dakota,Traill,8037
North Carolina,Transylvania,34215
Minnesota,Traverse,3308
Texas,Travis,1248743
Montana,Treasure,679
Kansas,Trego,2793
Wisconsin,Trempealeau,29442
Georgia,Treutlen,6809
Kentucky,Trigg,14643
Kentucky,Trimble,8515
California,Trinity,12535
Texas,Trinity,14740
South Dakota,Tripp,5478
Georgia,Troup,70034
Tennessee,Trousdale,11012
Ohio,Trumbull,198627
West Virginia,Tucker,6955
California,Tulare,465861
Oklahoma,Tulsa,648360
Mississippi,Tunica,9944
California,Tuolumne,54539
Georgia,Turner,7912
South Dakota,Turner,8424
Alabama,Tuscaloosa,208911
Ohio,Tuscarawas,92176
Michigan,Tuscola,52516
Georgia,Twiggs,8188
Idaho,Twin Falls,86081
Texas,Tyler,21696
West Virginia,Tyler,8746
North Carolina,Tyrrell,4131
Wyoming,Uinta,20299
Utah,Uintah,35438
New York,Ulster,178599
Oregon,Umatilla,77516
Tennessee,Unicoi,17761
Arkansas,Union,39126
Florida,Union,14940
Georgia,Union,24001
Illinois,Union,16841
Indiana,Union,7037
Iowa,Union,12359
Kentucky,Union,14505
Mississippi,Union,28606
New Jersey,Union,558067
New Mexico,Union,4118
North Carolina,Union,235908
Ohio,Union,57835
Oregon,Union,26461
Pennsylvania,Union,44785
South Carolina,Union,27410
South Dakota,Union,15619
Tennessee,Union,19688
Louisiana,Union,22330
Texas,Upshur,41260
West Virginia,Upshur,24415
Georgia,Upson,26215
Texas,Upton,3671
Utah,Utah,622213
Texas,Uvalde,26846
Texas,Val Verde,49208
Alaska,Valdez-Cordova Census Area,9164
New Mexico,Valencia,76456
Idaho,Valley,11041
Montana,Valley,7437
Nebraska,Valley,4190
Arkansas,Van Buren,16603
Iowa,Van Buren,7020
Michigan,Van Buren,75448
Tennessee,Van Buren,5765
Ohio,Van Wert,28281
Texas,Van Zandt,56019
North Carolina,Vance,44582
Indiana,Vanderburgh,180974
Pennsylvania,Venango,51266
California,Ventura,850967
Illinois,Vermilion,76806
Louisiana,Vermilion,59830
Indiana,Vermillion,15479
Missouri,Vernon,20528
Wisconsin,Vernon,30785
Louisiana,Vernon,48860
Texas,Victoria,92035
Indiana,Vigo,107386
Wisconsin,Vilas,21938
Ohio,Vinton,13139
Virginia,Virginia Beach,450189
Florida,Volusia,547538
Illinois,Wabash,11549
Indiana,Wabash,31280
Minnesota,Wabasha,21645
Kansas,Wabaunsee,6899
Minnesota,Wadena,13773
Oklahoma,Wagoner,80110
Washington,Wahkiakum,4426
North Carolina,Wake,1092305
Florida,Wakulla,32461
Maine,Waldo,39694
Alabama,Walker,63711
Georgia,Walker,69410
Texas,Walker,72480
Washington,Walla Walla,60922
Kansas,Wallace,1503
Texas,Waller,53126
Oregon,Wallowa,7081
North Dakota,Walsh,10667
Mississippi,Walthall,14465
Florida,Walton,71375
Georgia,Walton,93503
South Dakota,Walworth,5587
Wisconsin,Walworth,103718
Iowa,Wapello,35205
North Dakota,Ward,67744
Texas,Ward,11720
Georgia,Ware,35680
Georgia,Warren,5251
Illinois,Warren,17032
Indiana,Warren,8263
Iowa,Warren,51056
Kentucky,Warren,131264
Mississippi,Warren,46176
Missouri,Warren,34711
New Jersey,Warren,105779
New York,Warren,64265
North Carolina,Warren,19807
Ohio,Warren,232173
Pennsylvania,Warren,39498
Tennessee,Warren,40878
Virginia,Warren,40003
Indiana,Warrick,62567
Utah,Wasatch,33240
Oregon,Wasco,26505
Minnesota,Waseca,18691
Wyoming,Washakie,7885
Wisconsin,Washburn,15878
Alabama,Washington,16378
Arkansas,Washington,236961
Colorado,Washington,4909
Florida,Washington,24880
Georgia,Washington,20386
Idaho,Washington,10161
Illinois,Washington,13995
Indiana,Washington,27943
Iowa,Washington,22141
Kansas,Washington,5420
Kentucky,Washington,12084
Maine,Washington,31490
Maryland,Washington,150926
Minnesota,Washington,259201
Mississippi,Washington,45063
Missouri,Washington,24943
Nebraska,Washington,20667
New York,Washington,61197
North Carolina,Washington,11859
Ohio,Washington,60155
Oklahoma,Washington,51843
Oregon,Washington,597695
Pennsylvania,Washington,207346
Rhode Island,Washington,126179
Tennessee,Washington,128607
Texas,Washington,35108
Utah,Washington,171700
Vermont,Washington,58140
Virginia,Washington,54402
Wisconsin,Washington,135693
Louisiana,Washington,46582
Oklahoma,Washita,11127
Nevada,Washoe,465735
Michigan,Washtenaw,370963
North Carolina,Watauga,55945
Minnesota,Watonwan,10980
Wisconsin,Waukesha,403072
Wisconsin,Waupaca,51128
Wisconsin,Waushara,24263
Georgia,Wayne,29808
Illinois,Wayne,16332
Indiana,Wayne,65936
Iowa,Wayne,6401
Kentucky,Wayne,20468
Michigan,Wayne,1753893
Mississippi,Wayne,20298
Missouri,Wayne,13122
Nebraska,Wayne,9403
New York,Wayne,90064
North Carolina,Wayne,123248
Ohio,Wayne,115967
Pennsylvania,Wayne,51276
Tennessee,Wayne,16558
Utah,Wayne,2690
West Virginia,Wayne,39944
Virginia,Waynesboro,22628
Tennessee,Weakley,33415
Texas,Webb,275910
Utah,Weber,256359
Georgia,Webster,2611
Iowa,Webster,36277
Kentucky,Webster,13111
Mississippi,Webster,9788
Missouri,Webster,39109
Nebraska,Webster,3533
West Virginia,Webster,8285
Louisiana,Webster,38798
Colorado,Weld,314305
Indiana,Wells,28206
North Dakota,Wells,3957
Louisiana,West Baton Rouge,26427
Louisiana,West Carroll,10982
Louisiana,West Feliciana,15460
New York,Westchester,967612
Pennsylvania,Westmoreland,350611
Virginia,Westmoreland,17830
Wyoming,Weston,6967
West Virginia,Wetzel,15270
Michigan,Wexford,33466
Texas,Wharton,41619
Washington,Whatcom,225685
Montana,Wheatland,2236
Georgia,Wheeler,7879
Nebraska,Wheeler,805
Oregon,Wheeler,1366
Texas,Wheeler,5191
Arkansas,White,78727
Georgia,White,29970
Illinois,White,13665
Indiana,White,24133
Tennessee,White,27107
Nevada,White Pine,9475
Illinois,Whiteside,55626
Georgia,Whitfield,104062
Indiana,Whitley,34074
Kentucky,Whitley,36242
Washington,Whitman,49791
Montana,Wibaux,1034
Kansas,Wichita,2105
Texas,Wichita,132064
Maryland,Wicomico,103195
Texas,Wilbarger,12820
Alabama,Wilcox,10627
Georgia,Wilcox,8812
Georgia,Wilkes,9876
North Carolina,Wilkes,68557
Minnesota,Wilkin,6254
Georgia,Wilkinson,9036
Mississippi,Wilkinson,8792
Illinois,Will,692310
Texas,Willacy,21515
North Dakota,Williams,35350
Ohio,Williams,36804
Virginia,Williamsburg,14896
South Carolina,Williamsburg,30606
Illinois,Williamson,67056
Tennessee,Williamson,231729
Texas,Williamson,566719
Kansas,Wilson,8665
North Carolina,Wilson,81455
Tennessee,Wilson,140625
Texas,Wilson,50224
Virginia,Winchester,28108
Connecticut,Windham,117027
Vermont,Windham,42756
Vermont,Windsor,55286
Texas,Winkler,7720
Louisiana,Winn,14134
Illinois,Winnebago,284081
Iowa,Winnebago,10518
Wisconsin,Winnebago,171020
Iowa,Winneshiek,20029
Minnesota,Winona,50825
Alabama,Winston,23660
Mississippi,Winston,18165
West Virginia,Wirt,5830
Texas,Wise,68305
Virginia,Wise,38012
Kentucky,Wolfe,7177
Ohio,Wood,130696
Texas,Wood,45129
West Virginia,Wood,84203
Wisconsin,Wood,73055
Iowa,Woodbury,102539
Illinois,Woodford,38463
Kentucky,Woodford,26533
Arkansas,Woodruff,6490
Oklahoma,Woods,8897
Kansas,Woodson,3183
Oklahoma,Woodward,20222
Maryland,Worcester,51823
Massachusetts,Worcester,830839
Georgia,Worth,20299
Iowa,Worth,7453
Missouri,Worth,2040
Alaska,Wrangell and,2503
Iowa,Wright,12690
Minnesota,Wright,136349
Missouri,Wright,18378
Ohio,Wyandot,21935
Kansas,Wyandotte,165324
New York,Wyoming,40085
Pennsylvania,Wyoming,27046
West Virginia,Wyoming,20786
Virginia,Wythe,28754
North Carolina,Yadkin,37543
Washington,Yakima,251446
Alaska,Yakutat and,604
Mississippi,Yalobusha,12392
Oregon,Yamhill,107002
North Carolina,Yancey,17903
South Dakota,Yankton,22869
New York,Yates,24841
Arizona,Yavapai,231993
Mississippi,Yazoo,28248
Arkansas,Yell,21535
Minnesota,Yellow Medicine,9795
Montana,Yellowstone,160137
Texas,Yoakum,8591
California,Yolo,220408
Maine,York,206229
Nebraska,York,13772
Pennsylvania,York,448273
South Carolina,York,274118
Virginia,York,67846
Texas,Young,18045
California,Yuba,78041
Alaska,Yukon-Koyukuk Census Area,5327
Arizona,Yuma,212128
Colorado,Yuma,10020
Texas,Zapata,14190
Texas,Zavala,11983
South Dakota,Ziebach,2742